algorithm_name,env_n,size,best_solution,H,states,time
HC,2,10,"[0, 6, 4, 1, 7, 9, 2, 8, 5, 3]",0,16,0.006547
SA,2,10,"[3, 7, 0, 2, 6, 4, 1, 8, 5, 9]",1,1839,0.010374
GA,2,10,"[6, 4, 9, 0, 5, 3, 1, 7, 2, 8]",0,1178,0.009639
random,3,10,"[3, 6, 0, 5, 8, 1, 7, 2, 2, 9]",1,50000,0.389335
HC,3,10,"[3, 6, 8, 1, 5, 0, 2, 4, 7, 9]",0,54,0.022917
SA,3,10,"[5, 1, 9, 7, 2, 7, 3, 8, 0, 4]",1,1839,0.010397
GA,3,10,"[7, 1, 8, 2, 0, 6, 3, 9, 6, 4]",1,50000,0.439933
random,4,10,"[2, 8, 6, 8, 1, 5, 0, 0, 4, 7]",2,50000,0.395767
HC,4,10,"[5, 0, 6, 9, 7, 2, 8, 3, 1, 4]",0,39,0.016701
SA,4,10,"[4, 7, 5, 0, 2, 8, 6, 9, 3, 1]",1,1839,0.010462
GA,4,10,"[6, 9, 5, 2, 0, 7, 3, 1, 8, 4]",0,6078,0.052735
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,50000,0.389676
HC,5,10,"[8, 1, 4, 9, 7, 0, 3, 6, 2, 5]",0,33,0.013964
SA,5,10,"[2, 4, 7, 4, 0, 9, 6, 1, 3, 8]",1,1839,0.010314
GA,5,10,"[0, 4, 6, 1, 9, 7, 3, 8, 2, 5]",0,36948,0.321855
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,50000,0.393395
HC,6,10,"[3, 1, 7, 4, 8, 0, 5, 9, 2, 6]",0,7,0.002623
SA,6,10,"[6, 4, 1, 8, 5, 9, 2, 0, 3, 7]",1,1839,0.010284
GA,6,10,"[8, 5, 2, 4, 7, 0, 3, 9, 6, 1]",0,2158,0.018308
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,50000,0.390491
HC,7,10,"[0, 3, 6, 9, 5, 8, 1, 4, 2, 7]",0,39,0.016366
SA,7,10,"[3, 7, 4, 8, 0, 9, 6, 2, 5, 1]",0,931,0.005286
GA,7,10,"[1, 5, 2, 6, 9, 7, 4, 0, 3, 8]",0,40378,0.357648
random,8,10,"[8, 8, 0, 5, 1, 9, 6, 3, 7, 2]",2,50000,0.396615
HC,8,10,"[3, 5, 8, 2, 9, 6, 1, 7, 4, 0]",0,9,0.003586
SA,8,10,"[6, 8, 2, 5, 3, 0, 9, 7, 4, 1]",1,1839,0.010313
GA,8,10,"[1, 4, 6, 0, 9, 5, 8, 2, 7, 3]",0,4608,0.039724
random,9,10,"[0, 5, 7, 9, 3, 6, 8, 2, 4, 1]",2,50000,0.392300
HC,9,10,"[9, 3, 1, 4, 7, 0, 2, 5, 8, 6]",0,9,0.003891
SA,9,10,"[4, 8, 0, 5, 1, 8, 6, 3, 9, 2]",1,1839,0.010286
GA,9,10,"[4, 8, 5, 0, 2, 6, 8, 1, 7, 9]",1,50000,0.439759
random,10,10,"[4, 0, 8, 0, 7, 1, 9, 2, 6, 3]",2,50000,0.391917
HC,10,10,"[8, 3, 5, 2, 9, 6, 0, 7, 4, 1]",0,35,0.014702
SA,10,10,"[5, 7, 0, 4, 8, 1, 3, 6, 2, 9]",0,1441,0.008150
GA,10,10,"[0, 7, 1, 4, 9, 1, 8, 5, 3, 6]",1,50000,0.445661
random,11,10,"[3, 2, 6, 9, 0, 5, 8, 4, 7, 4]",2,50000,0.394615
HC,11,10,"[6, 4, 1, 5, 0, 9, 3, 8, 2, 7]",0,32,0.013354
